,game,model,experiment,episode,metric,value
0,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Generated Expression Length,106.0
1,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Generated Expression Number of Tokens,20.0
2,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Aborted at Player 1,0.0
3,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Aborted at Player 2,0.0
4,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Request Count,2.0
5,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Parsed Request Count,2.0
6,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Violated Request Count,0.0
7,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Success,0.0
8,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Lose,1.0
9,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Aborted,0.0
10,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Main Score,0.0
11,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_34,Request Success Ratio,1.0
12,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Generated Expression Length,43.0
13,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Generated Expression Number of Tokens,7.0
14,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Aborted at Player 1,0.0
15,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Aborted at Player 2,0.0
16,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Request Count,2.0
17,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Parsed Request Count,2.0
18,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Violated Request Count,0.0
19,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Success,0.0
20,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Lose,1.0
21,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Aborted,0.0
22,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Main Score,0.0
23,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_4,Request Success Ratio,1.0
24,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Generated Expression Length,57.0
25,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Generated Expression Number of Tokens,10.0
26,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Aborted at Player 1,0.0
27,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Aborted at Player 2,0.0
28,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Request Count,2.0
29,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Parsed Request Count,2.0
30,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Violated Request Count,0.0
31,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Success,0.0
32,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Lose,1.0
33,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Aborted,0.0
34,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Main Score,0.0
35,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_20,Request Success Ratio,1.0
36,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Generated Expression Length,37.0
37,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Generated Expression Number of Tokens,7.0
38,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Aborted at Player 1,0.0
39,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Aborted at Player 2,0.0
40,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Request Count,2.0
41,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Parsed Request Count,2.0
42,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Violated Request Count,0.0
43,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Success,0.0
44,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Lose,1.0
45,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Aborted,0.0
46,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Main Score,0.0
47,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_12,Request Success Ratio,1.0
48,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Generated Expression Length,94.0
49,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Generated Expression Number of Tokens,19.0
50,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Aborted at Player 1,0.0
51,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Aborted at Player 2,0.0
52,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Request Count,2.0
53,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Parsed Request Count,2.0
54,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Violated Request Count,0.0
55,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Success,0.0
56,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Lose,1.0
57,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Aborted,0.0
58,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Main Score,0.0
59,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_23,Request Success Ratio,1.0
60,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Generated Expression Length,27.0
61,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Generated Expression Number of Tokens,5.0
62,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Aborted at Player 1,0.0
63,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Aborted at Player 2,1.0
64,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Request Count,2.0
65,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Parsed Request Count,1.0
66,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Violated Request Count,1.0
67,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Success,0.0
68,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Lose,1.0
69,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Aborted,1.0
70,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Main Score,
71,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_10,Request Success Ratio,0.5
72,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Generated Expression Length,17.0
73,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Generated Expression Number of Tokens,3.0
74,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Aborted at Player 1,0.0
75,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Aborted at Player 2,0.0
76,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Request Count,2.0
77,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Parsed Request Count,2.0
78,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Violated Request Count,0.0
79,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Success,1.0
80,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Lose,0.0
81,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Aborted,0.0
82,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Main Score,100.0
83,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_25,Request Success Ratio,1.0
84,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Generated Expression Length,45.0
85,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Generated Expression Number of Tokens,6.0
86,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Aborted at Player 1,0.0
87,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Aborted at Player 2,0.0
88,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Request Count,2.0
89,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Parsed Request Count,2.0
90,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Violated Request Count,0.0
91,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Success,0.0
92,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Lose,1.0
93,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Aborted,0.0
94,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Main Score,0.0
95,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_36,Request Success Ratio,1.0
96,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Generated Expression Length,59.0
97,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Generated Expression Number of Tokens,11.0
98,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Aborted at Player 1,0.0
99,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Aborted at Player 2,0.0
100,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Request Count,2.0
101,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Parsed Request Count,2.0
102,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Violated Request Count,0.0
103,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Success,0.0
104,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Lose,1.0
105,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Aborted,0.0
106,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Main Score,0.0
107,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_28,Request Success Ratio,1.0
108,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Generated Expression Length,73.0
109,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Generated Expression Number of Tokens,15.0
110,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Aborted at Player 1,0.0
111,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Aborted at Player 2,0.0
112,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Request Count,2.0
113,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Parsed Request Count,2.0
114,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Violated Request Count,0.0
115,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Success,0.0
116,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Lose,1.0
117,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Aborted,0.0
118,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Main Score,0.0
119,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_33,Request Success Ratio,1.0
120,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Generated Expression Length,35.0
121,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Generated Expression Number of Tokens,5.0
122,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Aborted at Player 1,0.0
123,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Aborted at Player 2,0.0
124,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Request Count,2.0
125,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Parsed Request Count,2.0
126,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Violated Request Count,0.0
127,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Success,1.0
128,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Lose,0.0
129,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Aborted,0.0
130,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Main Score,100.0
131,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_3,Request Success Ratio,1.0
132,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Generated Expression Length,35.0
133,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Generated Expression Number of Tokens,7.0
134,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Aborted at Player 1,0.0
135,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Aborted at Player 2,0.0
136,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Request Count,2.0
137,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Parsed Request Count,2.0
138,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Violated Request Count,0.0
139,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Success,0.0
140,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Lose,1.0
141,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Aborted,0.0
142,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Main Score,0.0
143,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_30,Request Success Ratio,1.0
144,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Generated Expression Length,30.0
145,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Generated Expression Number of Tokens,5.0
146,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Aborted at Player 1,0.0
147,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Aborted at Player 2,0.0
148,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Request Count,2.0
149,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Parsed Request Count,2.0
150,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Violated Request Count,0.0
151,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Success,0.0
152,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Lose,1.0
153,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Aborted,0.0
154,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Main Score,0.0
155,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_38,Request Success Ratio,1.0
156,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Generated Expression Length,60.0
157,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Generated Expression Number of Tokens,11.0
158,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Aborted at Player 1,0.0
159,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Aborted at Player 2,0.0
160,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Request Count,2.0
161,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Parsed Request Count,2.0
162,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Violated Request Count,0.0
163,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Success,0.0
164,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Lose,1.0
165,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Aborted,0.0
166,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Main Score,0.0
167,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_8,Request Success Ratio,1.0
168,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_11,Generated Expression Length,133.0
169,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_11,Generated Expression Number of Tokens,23.0
170,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_11,Aborted at Player 1,0.0
171,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_11,Aborted at Player 2,0.0
172,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_11,Request Count,2.0
173,multimodal_referencegame,InternVL2-40B-t0.0--InternVL2-40B-t0.0,5_3DS_three_attibute_id,episode_11,Parsed Request Count,2.0
